1;nytimes
2;thesunnewspaper
3;thetimes
4;ap
5;cnn
6;bbcnews
7;cnet
8;msnuk
9;telegraph
10;usatoday
11;wsj
12;washingtonpost
13;bostonglobe
14;newscomauhq
15;skynews
16;sfgate
17;ajenglish
18;independent
19;guardian
20;latimes
21;reutersagency
22;abc
23;bloombergnews
24;bw
25;time
